"V1","V2","V3"
"1",4552504,681670.983155987,7477206.71336827
"2",4552508,684305.67161939,7477649.79712911
"3",4551615,673433.438464699,7476652.3043299
"4",4552314,650619.383314022,7474759.86735396
"5",4551616,672083.536493156,7476503.43111167
"6",4553004,670769.393287363,7476898.21102169
"7",4553005,669759.342217995,7476444.90388299
"8",4553007,668524.885405867,7476811.0336082
"9",4552503,679868.654753805,7475503.43672284
"10",4553008,667488.94288988,7476533.61583615
"11",4551614,674950.487115165,7476328.10504227
"12",4551609,676146.593501907,7476259.38449237
"13",4553009,666397.99584383,7475775.0022178
"14",4553006,669056.437766517,7475774.25155248
"15",4551604,676905.355991172,7475499.14787325
"16",4553010,668220.563601377,7475518.03943304
"17",4552201,653626.459904573,7472918.5161266
"18",4551910,671654.04916377,7475513.69368693
"19",4552703,664852.387791042,7475248.51417079
"20",4553003,670275.409318144,7475212.85006011
"21",4552206,656392.821367943,7473636.8239712
"22",4551613,674686.87470874,7475712.97585153
"23",4551610,675301.526774426,7475286.13699191
"24",4551612,673640.738967313,7475349.19871897
"25",4553011,667296.745805633,7474931.50232093
"26",4552315,646945.657713043,7472503.74201421
"27",4551608,675848.922971988,7474752.48436716
"28",4552707,663163.795044649,7474795.8882891
"29",4551611,674029.935227723,7474763.33129474
"30",4551603,677945.746574513,7474319.75069157
"31",4551909,671599.789454459,7474662.71467932
"32",4553002,668985.138262308,7474504.46976996
"33",4552706,662769.863915188,7473793.50662786
"34",4552702,666400.078397894,7473781.69136443
"35",4553012,667860.383991003,7473851.9984746
"36",4551605,676300.150388307,7474168.13030454
"37",4551908,672927.069659417,7474278.70982451
"38",4552704,665114.311576312,7473994.85168143
"39",4553001,669439.16570973,7473881.11170272
"40",4551607,674840.638259761,7473960.13640504
"41",4551907,672246.27416524,7473724.25708777
"42",4551617,673527.102565799,7473786.4173477
"43",4551602,677228.732170073,7473577.8468682
"44",4551911,670962.308415146,7473584.66307459
"45",4551606,674889.280373997,7472837.4619658
"46",4551912,670452.149335396,7472920.66471874
"47",4552705,663874.125996262,7473153.49367644
"48",4552211,660668.090811106,7471432.95364152
"49",4552218,665328.664793677,7472806.94430949
"50",4552006,668722.560000979,7472827.41502815
"51",4551903,673428.571561431,7472826.00617834
"52",4551508,678353.488126853,7472883.1466902
"53",4551906,671696.178125818,7472986.31038309
"54",4552217,663184.756270943,7472181.68943279
"55",4552007,669461.496389676,7472562.75524988
"56",4552701,667256.649585348,7472717.48779608
"57",4551601,675959.023073004,7472584.81995064
"58",4551507,679026.710028923,7472402.9397787
"59",4551904,672497.885669654,7472447.99135755
"60",4551509,677030.326702549,7471957.4423422
"61",4551905,671450.724723423,7472044.69520639
"62",4552008,669859.041812383,7471723.12771927
"63",4552219,665832.634295994,7471224.63509775
"64",4551902,674079.937420778,7471629.40963383
"65",4552001,667270.952053725,7471690.29647612
"66",4551505,679216.112037853,7471689.34306226
"67",4551901,672816.105245323,7471298.26017661
"68",4552005,668479.5955193,7471800.53364509
"69",4551506,678276.27956156,7471155.89456828
"70",4552215,664300.666113971,7470049.37492414
"71",4553209,675009.058109238,7470780.298725
"72",4552404,639438.654045208,7468958.05418817
"73",4552014,671493.010042568,7471180.67967244
"74",4553501,677211.656489358,7470805.52559005
"75",4552316,644137.559501529,7470329.03189471
"76",4552210,659114.135001867,7470394.75139766
"77",4552004,668441.350251064,7470958.38511211
"78",4552205,656831.484280502,7470188.9946945
"79",4552009,670093.067991448,7470823.61214742
"80",4553207,676222.681491857,7470303.87893406
"81",4551504,679367.530329633,7470456.03671495
"82",4553211,673813.249262573,7470190.7145421
"83",4552207,658162.644340678,7470383.53792293
"84",4552002,667008.161255411,7470229.02723202
"85",4552313,651321.397153183,7470361.28755405
"86",4552013,671016.729930766,7470088.6333878
"87",4552010,669415.258071853,7470330.68950343
"88",4552311,649060.95466702,7468846.06288439
"89",4551503,678739.894761881,7469917.33298604
"90",4552216,662757.836664931,7469709.70219677
"91",4552306,646879.748840424,7468538.52942696
"92",4552003,668033.443883372,7469828.89056349
"93",4552202,654435.244386213,7470005.94483715
"94",4553206,677130.986091273,7469723.43599031
"95",4552015,672684.177468267,7469817.42737203
"96",4552214,665871.543993653,7469035.24660797
"97",4553208,675821.703983591,7469797.99875648
"98",4552011,669085.54892919,7469413.67306375
"99",4553210,675039.052566525,7469782.22359434
"100",4553202,678339.893974676,7469394.59798074
"101",4552312,652328.496202227,7468719.6152745
"102",4552212,660697.244823112,7467217.05882476
"103",4552012,670192.784747699,7469051.85291228
"104",4552016,671801.58181501,7469410.39715602
"105",4551727,674859.74455619,7468856.07981572
"106",4553205,675983.67903573,7469020.17771714
"107",4552305,643691.100632339,7468558.49185325
"108",4553203,677197.725491462,7468861.29317312
"109",4552209,658970.587338437,7468105.25374959
"110",4552208,657970.163150437,7467928.9881928
"111",4552204,656735.729409279,7467595.91571976
"112",4552203,654989.967677769,7466606.5361141
"113",4551728,673671.145713374,7468375.78993958
"114",4551502,679232.958391695,7468684.2646372
"115",4552017,672052.405915808,7468720.46833324
"116",4552125,667514.80292492,7467962.53726209
"117",4553201,678073.260710437,7468405.92176399
"118",4552018,672711.700776196,7468236.16770011
"119",4553204,677436.953023591,7468487.35081889
"120",4552021,669549.136116874,7468253.17096123
"121",4552020,670958.487786983,7467958.84437265
"122",4552213,664758.241033713,7467141.2288917
"123",4552310,650633.430624048,7467394.28125939
"124",4551726,674467.094192288,7468096.09803672
"125",4552302,642364.426101484,7466989.28272611
"126",4553401,678635.039345504,7467998.10606221
"127",4551713,676370.795225881,7467932.95879668
"128",4552127,669615.867042229,7467135.08506743
"129",4551720,675237.68807249,7467555.05544814
"130",4551706,679052.974693794,7467527.27617685
"131",4551711,677525.950449137,7467669.74164296
"132",4551203,681992.276326658,7467517.08287688
"133",4552304,644467.407500634,7466674.40826483
"134",4552019,671656.360760252,7466764.19334312
"135",4551211,680445.23102579,7467434.03131058
"136",4553401,679307.508817412,7467785.72516291
"137",4551719,676001.232151004,7467314.29531092
"138",4553401,679129.926522312,7467766.81762388
"139",4551729,672815.47457449,7466565.42122282
"140",4551725,674193.578214857,7467435.9821169
"141",4551712,677209.108951342,7467174.38028129
"142",4551210,680858.315448163,7466966.55577613
"143",4551204,682780.654070244,7467221.77125189
"144",4551209,681422.018295332,7466916.07573206
"145",4552403,640098.705834993,7464836.08209261
"146",4552126,668514.833362021,7466287.10231772
"147",4553401,679160.055117443,7467511.04296544
"148",4551702,679634.747396517,7466794.45989274
"149",4551714,676820.143999313,7466671.60285071
"150",4551710,677774.522435001,7466619.81615243
"151",4550604,685478.530181567,7466968.64758858
"152",4550603,684245.138163926,7466551.7510081
"153",4550703,687227.352309469,7466703.56760206
"154",4551724,673867.767634083,7466621.01474511
"155",4551707,678425.012736101,7466684.97877815
"156",4551705,678913.492314529,7466722.55193449
"157",4550605,686242.794706652,7466715.04639549
"158",4551202,682247.719806256,7466766.60853654
"159",4552309,652719.940198152,7463899.65017588
"160",4551721,674741.479843641,7466539.42849011
"161",4551205,683193.487609493,7466498.84637864
"162",4551718,675745.094212678,7466645.1489081
"163",4550702,686208.631000013,7466308.33537475
"164",4552307,646641.165431801,7465022.18743086
"165",4551701,680164.511922376,7465997.49279778
"166",4551715,675880.600659691,7466241.77616477
"167",4550601,685271.205900267,7466409.08645241
"168",4551201,682382.356160646,7466265.59880273
"169",4550602,684340.169284381,7465966.70979739
"170",4551208,680899.060349568,7466017.11482629
"171",4552120,667164.010166829,7465457.72437877
"172",4552121,664352.011534361,7465467.0021312
"173",4551207,682040.646094391,7465770.88000416
"174",4550704,687116.067515332,7466022.29196818
"175",4551703,679548.852705962,7465996.33798183
"176",4552308,648702.926563399,7463583.92744311
"177",4551704,678986.096158366,7465841.57811002
"178",4550711,685344.267054284,7465956.87278762
"179",4551708,678439.43620714,7465866.00859353
"180",4551716,675938.833468951,7465790.45111953
"181",4551709,677593.136527375,7465279.00006027
"182",4551206,683300.13693671,7465916.60765198
"183",4550701,686394.874530309,7465868.27552842
"184",4551723,673133.851310924,7465340.21621822
"185",4552109,669240.287859566,7464934.9014466
"186",4552303,644047.34328774,7464825.0511222
"187",4550705,688062.056658056,7465354.1428371
"188",4551722,674436.970544857,7465178.39644024
"189",4551717,675914.508140394,7464929.09115224
"190",4552108,670753.190922355,7463969.68723455
"191",4550710,685445.492687822,7465536.23071078
"192",4550802,684304.565661746,7465408.03233984
"193",4552122,660015.677172711,7463587.67974303
"194",4550708,686618.460804342,7465347.0119812
"195",4550706,687260.911785804,7465369.76271038
"196",4551301,683254.055046584,7465233.18104955
"197",4552301,642122.373300176,7464280.07625049
"198",4551405,680174.858603816,7465141.59135483
"199",4551402,681312.197111949,7464998.02511857
"200",4551406,679059.842322512,7465035.0613438
"201",4550709,685901.354223555,7465046.34055879
"202",4550801,684781.854112632,7465099.70183175
"203",4550707,686935.320643893,7464942.3423338
"204",4551401,682353.666353017,7464992.31939687
"205",4550901,687359.650714597,7464749.78599974
"206",4550803,684172.447784834,7464576.72070422
"207",4552802,685502.232463884,7463980.61751749
"208",4552119,665968.220198221,7464473.38870885
"209",4551302,682714.930351757,7464592.02545474
"210",4551404,680208.044666146,7464574.17200064
"211",4552803,686397.688706068,7464397.20118652
"212",4550807,684882.213136583,7464232.95935205
"213",4551411,677122.090426517,7463220.21358188
"214",4552101,673759.392197273,7462720.60235113
"215",4551407,678870.625149695,7464492.24909175
"216",4550804,683233.051494852,7463233.64239297
"217",4551305,681276.560553645,7463397.06396884
"218",4551304,682101.469200443,7463979.96718041
"219",4551303,682938.787514208,7464155.16029688
"220",4552123,663104.074930668,7461455.19689989
"221",4552116,667431.674772961,7463156.75307652
"222",4550806,684061.109427917,7463917.76499902
"223",4551403,680619.320456729,7464160.68053717
"224",4552110,669128.980396954,7463709.32780879
"225",4551408,679657.317209381,7463984.6324399
"226",4551410,678344.714736143,7463391.21891255
"227",4550902,687297.34534942,7463976.81028516
"228",4552118,665828.247414312,7463544.4587346
"229",4550903,686611.107536286,7463451.15826453
"230",4551409,678834.149401158,7462919.75105067
"231",4551306,680404.670297739,7462407.10152758
"232",4550805,684168.922224835,7463125.024031
"233",4552117,668350.842075839,7462795.35648625
"234",4550907,685839.989011151,7462702.67214665
"235",4553107,641756.776504634,7461135.99981845
"236",4552115,666542.306486385,7462398.0789726
"237",4550908,685323.98342933,7462173.726217
"238",4552107,670786.832151793,7462279.99582516
"239",4552937,654609.744573615,7458788.0195382
"240",4551309,680401.131126136,7460959.59802564
"241",4552801,683661.195942602,7461801.26810033
"242",4553101,647349.943862074,7458960.35891088
"243",4551307,678693.724300978,7462018.63121023
"244",4552111,669221.658715544,7461567.1161578
"245",4552114,665355.192713738,7460879.05701913
"246",4550909,684480.443446175,7461847.51116928
"247",4551308,676043.702381809,7460142.14382614
"248",4552112,667834.750966605,7461314.40151747
"249",4552401,633972.173526929,7459437.20493484
"250",4552106,670887.331946627,7460955.09058626
"251",4552931,660928.318135677,7458750.41434364
"252",4550910,685243.553392178,7460911.20572803
"253",4552113,666862.858002314,7459622.58177726
"254",4552105,670044.875406263,7459849.63642155
"255",4552102,672275.355593742,7459573.56079737
"256",4551310,679131.637305819,7458862.36873954
"257",4550911,684407.526927793,7460366.57756567
"258",4553106,638752.131622597,7458380.55457476
"259",4552104,669069.629331209,7460075.38475536
"260",4551107,683232.59397585,7459806.76586089
"261",4552932,657564.765609488,7457764.52336383
"262",4551002,686718.567932342,7459283.94022429
"263",4551109,681604.245398036,7459114.64908761
"264",4552124,663861.50916604,7459025.97029288
"265",4551106,684367.331643075,7459346.26841974
"266",4551108,683377.292715121,7459492.86934318
"267",4552103,669142.674261177,7458519.36104116
"268",4551003,685532.461063328,7458858.92569376
"269",0,683526.141266273,7458440.99748138
"270",4551110,682693.269335165,7458304.33923372
"271",4552905,673084.848368446,7457260.75516133
"272",4551105,684395.437393303,7458400.69146831
"273",4551113,680433.551988028,7457357.75479896
"274",4552925,663471.246952652,7456835.10560304
"275",4551004,685357.451876659,7458032.396078
"276",4552924,665487.20457917,7456317.64926329
"277",4552906,671113.349194522,7457370.47708533
"278",4552920,666722.869967567,7457276.45053847
"279",4552919,668088.664828614,7457868.77376977
"280",4552916,669212.852209127,7456755.90958505
"281",4551112,681591.119888256,7457120.39574982
"282",4551111,682503.829707816,7457322.06639645
"283",4551102,684519.343513342,7457276.20623467
"284",4551115,677437.428430049,7456378.5145208
"285",4551005,685380.164868658,7457240.08187164
"286",4552904,674808.936354477,7456394.1256469
"287",4552918,668010.293525552,7457164.00610963
"288",4552930,659728.033820307,7456918.81465925
"289",4551103,683914.070731475,7457143.43323824
"290",4551104,683259.13215358,7457138.54294164
"291",4552912,670281.215269403,7456294.219769
"292",4551101,685107.486968007,7456836.00189196
"293",4553301,679520.431406921,7456712.6334339
"294",4553105,639618.851573544,7456089.83166465
"295",4551114,680311.90572041,7455994.22771232
"296",4552933,656321.132605165,7455139.62154769
"297",4552917,668087.385527927,7456119.31595219
"298",4552907,671404.100706681,7455954.62034977
"299",4552929,659638.813068214,7455454.45344122
"300",4552921,666601.533656817,7456008.33199786
"301",4552902,674838.551698575,7455093.12522395
"302",4552908,672426.154264898,7455325.78297954
"303",4552926,662181.847192083,7454671.48418854
"304",4552915,668132.04679443,7455158.50246474
"305",4552922,666838.997211378,7455133.38270043
"306",4552913,669471.05583222,7455199.91710209
"307",4552911,670742.049955879,7455120.34659976
"308",4552903,673352.795196595,7454422.26060424
"309",4552901,675527.835516178,7454565.52531413
"310",4552909,671828.022882244,7454860.57178456
"311",4552914,668865.316844594,7454569.61524033
"312",4552928,658642.542968679,7453848.36598395
"313",4552923,666342.872708421,7454404.82257199
"314",4552910,671264.760927581,7454432.76665827
"315",4552927,661990.667380853,7453839.11145698
"316",4552934,656220.514274953,7452920.95317342
"317",4552601,694261.898649975,7481871.75310177
"318",4552601,693222.899063689,7482257.0997633
"319",4552601,694868.15952174,7481507.44380405
"320",4552509,689154.4345848,7480360.14951531
"321",4552509,687588.583219696,7478913.32916588
"322",4552507,685992.147383913,7477210.50934943
"323",4552505,684533.671692875,7476092.96930954
"324",4552506,686747.510433572,7475082.0115762
"325",4553603,679950.150595413,7472357.57872083
"326",4552502,681222.065770605,7472658.09022637
"327",4552501,682100.825195448,7470724.01308708
"328",4553602,680193.318634273,7470623.17749757
"329",4552408,629723.943550099,7466750.22501303
"330",4552405,636003.911365211,7467660.99826606
"331",4553601,680689.478670666,7469728.5686676
"332",4550606,682394.468745664,7468839.68210949
"333",4551501,680083.679816751,7468595.22621202
"334",4552407,632387.82902488,7462688.44197602
"335",4552406,636352.238664177,7463851.7231927
"336",4552402,638120.475643491,7461760.68981564
"337",4550906,687355.607191468,7462498.60068269
"338",4550905,686961.696942337,7462653.03169994
"339",4550904,686410.861301624,7462687.5696308
"340",4550914,686217.762915412,7461432.14530847
"341",4550915,688464.30760715,7460784.89583514
"342",4550913,686930.337545002,7460345.52986379
"343",4550912,685799.886989997,7460021.56006846
"344",4551001,687907.866512917,7459530.81149357
"345",4553102,644265.77657847,7455694.92472281
"346",4553103,646644.141388352,7452884.42651378
"347",4553104,648535.89917325,7451475.0325527
"348",4552936,652077.205488757,7452834.65142276
"349",4553103,644124.363137776,7451719.68902178
"350",4553103,641380.154997221,7450885.43801412
"351",4552935,650472.120431203,7450584.89956155
"352",4553103,647433.952874281,7450169.48839888
