Source,Dest,flowSD,flowDS,Distance,geoSource,geoDest
2307304,2111300,97,42,0,JUAZEIRO DO NORTE,SAO LUIS
3136702,5201108,63,55,0,JUIZ DE FORA,ANAPOLIS
3136702,3300704,14842,17109,0,JUIZ DE FORA,CABO FRIO
3136702,3201209,1474,1637,0,JUIZ DE FORA,CACHOEIRO DO ITAPEMIRIM
3136702,4205407,282,239,0,JUIZ DE FORA,FLORIANOPOLIS
3136702,2914802,130,124,0,JUIZ DE FORA,ITABUNA
3136702,4208203,52,66,0,JUIZ DE FORA,ITAJAI
3136702,4209102,117,74,0,JUIZ DE FORA,JOINVILLE
3136702,3303302,14264,13773,0,JUIZ DE FORA,NITEROI
3136702,1721000,200,184,0,JUIZ DE FORA,PALMAS
3136702,3549904,6814,7931,0,JUIZ DE FORA,SAO JOSE DOS CAMPOS
3136702,2931350,99,85,0,JUIZ DE FORA,TEIXEIRA DE FREITAS
3136702,3205309,6843,8329,0,JUIZ DE FORA,VITORIA
3136702,2933307,261,179,0,JUIZ DE FORA,VITORIA DA CONQUISTA
4209300,4104808,1074,1056,0,LAGES,CASCAVEL
4209300,4108304,978,885,0,LAGES,FOZ DO IGUACU
4209300,4314100,282,449,0,LAGES,PASSO FUNDO
4113700,3300407,162,144,0,LONDRINA,BARRA MANSA
4113700,3505500,454,487,0,LONDRINA,BARRETOS
4113700,3509502,30894,31215,0,LONDRINA,CAMPINAS
4113700,4205407,6108,6624,0,LONDRINA,FLORIANOPOLIS
4113700,3516200,1097,883,0,LONDRINA,FRANCA
4113700,4209102,5355,5388,0,LONDRINA,JOINVILLE
4113700,3136702,168,165,0,LONDRINA,JUIZ DE FORA
4113700,4209300,1023,721,0,LONDRINA,LAGES
4113700,3303302,328,344,0,LONDRINA,NITEROI
4113700,1100205,92,84,0,LONDRINA,PORTO VELHO
4113700,3541406,14298,15824,0,LONDRINA,PRES PRUDENTE
4113700,3304201,65,84,0,LONDRINA,RESENDE
4113700,3549904,7882,7040,0,LONDRINA,SAO JOSE DOS CAMPOS
4113700,3170107,627,594,0,LONDRINA,UBERABA
2704302,5201108,77,157,0,MACEIO,ANAPOLIS
2704302,2504009,1067,1064,0,MACEIO,CAMPINA GRANDE
2704302,2304202,299,298,0,MACEIO,CRATO
2704302,4108304,116,139,0,MACEIO,FOZ DO IGUACU
2704302,5208707,760,1744,0,MACEIO,GOIANIA
2704302,3127701,393,281,0,MACEIO,GOV VALADARES
2704302,2914802,475,430,0,MACEIO,ITABUNA
2704302,2507507,3966,4167,0,MACEIO,JOAO PESSOA
2704302,1721000,227,104,0,MACEIO,PALMAS
2704302,3168606,248,129,0,MACEIO,TEOFILO OTONI
2704302,3205309,928,883,0,MACEIO,VITORIA
4115200,3300407,199,271,0,MARINGA,BARRA MANSA
4115200,3505500,364,356,0,MARINGA,BARRETOS
4115200,3509502,25751,25493,0,MARINGA,CAMPINAS
4115200,5002704,8590,10540,0,MARINGA,CAMPO GRANDE
4115200,4205407,3834,3884,0,MARINGA,FLORIANOPOLIS
4115200,3516200,1893,1462,0,MARINGA,FRANCA
4115200,4209102,4095,3405,0,MARINGA,JOINVILLE
4115200,3136702,151,245,0,MARINGA,JUIZ DE FORA
4115200,3303302,374,366,0,MARINGA,NITEROI
4115200,1721000,211,277,0,MARINGA,PALMAS
4115200,1100205,263,133,0,MARINGA,PORTO VELHO
4115200,3541406,52186,53985,0,MARINGA,PRES PRUDENTE
4115200,3304201,64,42,0,MARINGA,RESENDE
4115200,5107602,6043,6131,0,MARINGA,RONDONOPOLIS
4115200,3549904,8726,7039,0,MARINGA,SAO JOSE DOS CAMPOS
4115200,3170107,721,710,0,MARINGA,UBERABA
2408003,2800308,303,11,0,MOSSORO,ARACAJU
2408003,2504009,1239,740,0,MOSSORO,CAMPINA GRANDE
2408003,3127701,122,69,0,MOSSORO,GOV VALADARES
2408003,2704302,165,118,0,MOSSORO,MACEIO
2408003,2933307,446,167,0,MOSSORO,VITORIA DA CONQUISTA
2408102,2504009,25295,23340,0,NATAL,CAMPINA GRANDE
2408102,5208707,408,448,0,NATAL,GOIANIA
2408102,2507507,60797,53578,0,NATAL,JOAO PESSOA
2408102,2704302,5481,5438,0,NATAL,MACEIO
2408102,3549904,473,401,0,NATAL,SAO JOSE DOS CAMPOS
3303302,4104808,160,145,0,NITEROI,CASCAVEL
3303302,4108304,152,729,0,NITEROI,FOZ DO IGUACU
1721000,3103504,414,199,0,PALMAS,ARAGUARI
1721000,3148004,154,169,0,PALMAS,PATOS DE MINAS
1721000,2111300,375,505,0,PALMAS,SAO LUIS
2207702,5208707,831,995,0,PARNAIBA,GOIANIA
4314100,5201108,1,1,0,PASSO FUNDO,ANAPOLIS
4314100,4202404,110,125,0,PASSO FUNDO,BLUMENAU
4314100,4104808,6235,5769,0,PASSO FUNDO,CASCAVEL
4314100,4204202,8604,9081,0,PASSO FUNDO,CHAPECO
4314100,4108304,1671,1629,0,PASSO FUNDO,FOZ DO IGUACU
4314100,5208707,56,41,0,PASSO FUNDO,GOIANIA
4314100,4119905,102,57,0,PASSO FUNDO,PONTA GROSSA
4314100,3549805,107,47,0,PASSO FUNDO,SAO JOSE DO RIO PRETO
4314100,3170206,42,8,0,PASSO FUNDO,UBERLANDIA
3148004,2800308,76,75,0,PATOS DE MINAS,ARACAJU
3148004,3509502,1360,1537,0,PATOS DE MINAS,CAMPINAS
3148004,3516200,3375,3353,0,PATOS DE MINAS,FRANCA
3148004,5208707,4368,3820,0,PATOS DE MINAS,GOIANIA
3148004,2704302,44,58,0,PATOS DE MINAS,MACEIO
3148004,2933307,153,119,0,PATOS DE MINAS,VITORIA DA CONQUISTA
2611101,5208707,101,480,0,PETROLINA,GOIANIA
2611101,2918407,710687,710629,0,PETROLINA,JUAZEIRO
2611101,2704302,125,135,0,PETROLINA,MACEIO
4119905,3502804,455,447,0,PONTA GROSSA,ARACATUBA
4119905,3300407,281,266,0,PONTA GROSSA,BARRA MANSA
4119905,5002704,51,39,0,PONTA GROSSA,CAMPO GRANDE
4119905,5103403,88,102,0,PONTA GROSSA,CUIABA
4119905,5208707,28,37,0,PONTA GROSSA,GOIANIA
4119905,1721000,47,64,0,PONTA GROSSA,PALMAS
4119905,1100205,29,16,0,PONTA GROSSA,PORTO VELHO
4119905,3541406,1312,1055,0,PONTA GROSSA,PRES PRUDENTE
4119905,3304201,39,30,0,PONTA GROSSA,RESENDE
4119905,5107602,34,25,0,PONTA GROSSA,RONDONOPOLIS
4119905,3549904,858,1019,0,PONTA GROSSA,SAO JOSE DOS CAMPOS
4119905,3170206,9,43,0,PONTA GROSSA,UBERLANDIA
1100205,1200401,47735,50865,0,PORTO VELHO,RIO BRANCO
1100205,5107602,500,606,0,PORTO VELHO,RONDONOPOLIS
3152501,3507605,8078,5902,0,POUSO ALEGRE,BRAGANCA PAULISTA
3152501,3509502,8031,11216,0,POUSO ALEGRE,CAMPINAS
3152501,3170701,18202,20290,0,POUSO ALEGRE,VARGINHA
3541406,3103504,188,288,0,PRES PRUDENTE,ARAGUARI
3541406,3300407,1518,1501,0,PRES PRUDENTE,BARRA MANSA
3541406,5002704,16555,19593,0,PRES PRUDENTE,CAMPO GRANDE
3541406,3136702,48,55,0,PRES PRUDENTE,JUIZ DE FORA
3541406,1721000,302,319,0,PRES PRUDENTE,PALMAS
3541406,1100205,3373,2736,0,PRES PRUDENTE,PORTO VELHO
3541406,5107602,11166,10601,0,PRES PRUDENTE,RONDONOPOLIS
3541406,3170206,1721,1996,0,PRES PRUDENTE,UBERLANDIA
3304201,3136702,1529,1989,0,RESENDE,JUIZ DE FORA
3304201,3549904,2744,2499,0,RESENDE,SAO JOSE DOS CAMPOS
3304201,2933307,435,347,0,RESENDE,VITORIA DA CONQUISTA
5107602,5201108,353,387,0,RONDONOPOLIS,ANAPOLIS
5107602,3502804,244,249,0,RONDONOPOLIS,ARACATUBA
5107602,3509502,2704,2605,0,RONDONOPOLIS,CAMPINAS
5107602,3136702,70,40,0,RONDONOPOLIS,JUIZ DE FORA
5107602,4113700,471,545,0,RONDONOPOLIS,LONDRINA
5107602,1200401,281,533,0,RONDONOPOLIS,RIO BRANCO
5107602,3549805,2633,2821,0,RONDONOPOLIS,SAO JOSE DO RIO PRETO
5107602,3170107,296,379,0,RONDONOPOLIS,UBERABA
5107602,3170206,2577,1372,0,RONDONOPOLIS,UBERLANDIA
3549805,2800308,1144,924,0,SAO JOSE DO RIO PRETO,ARACAJU
3549805,3103504,450,533,0,SAO JOSE DO RIO PRETO,ARAGUARI
3549805,4205407,1001,790,0,SAO JOSE DO RIO PRETO,FLORIANOPOLIS
3549805,4108304,2026,2339,0,SAO JOSE DO RIO PRETO,FOZ DO IGUACU
3549805,3127701,131,422,0,SAO JOSE DO RIO PRETO,GOV VALADARES
3549805,3136702,2631,1295,0,SAO JOSE DO RIO PRETO,JUIZ DE FORA
3549805,4113700,5561,5926,0,SAO JOSE DO RIO PRETO,LONDRINA
3549805,2704302,1187,1234,0,SAO JOSE DO RIO PRETO,MACEIO
3549805,4115200,1513,2015,0,SAO JOSE DO RIO PRETO,MARINGA
3549805,1721000,1484,1048,0,SAO JOSE DO RIO PRETO,PALMAS
3549805,3148004,548,439,0,SAO JOSE DO RIO PRETO,PATOS DE MINAS
3549805,3152501,435,302,0,SAO JOSE DO RIO PRETO,POUSO ALEGRE
3549805,3541406,1889,2311,0,SAO JOSE DO RIO PRETO,PRES PRUDENTE
3549805,3168606,175,513,0,SAO JOSE DO RIO PRETO,TEOFILO OTONI
3549805,3170107,6248,3985,0,SAO JOSE DO RIO PRETO,UBERABA
3549805,3170206,7451,7286,0,SAO JOSE DO RIO PRETO,UBERLANDIA
3549805,2933307,1972,1333,0,SAO JOSE DO RIO PRETO,VITORIA DA CONQUISTA
3549904,3127701,1194,742,0,SAO JOSE DOS CAMPOS,GOV VALADARES
3549904,4208203,633,608,0,SAO JOSE DOS CAMPOS,ITAJAI
3549904,4209102,587,333,0,SAO JOSE DOS CAMPOS,JOINVILLE
3549904,2207702,374,22,0,SAO JOSE DOS CAMPOS,PARNAIBA
3549904,2611101,3,47,0,SAO JOSE DOS CAMPOS,PETROLINA
3549904,3152501,18663,18909,0,SAO JOSE DOS CAMPOS,POUSO ALEGRE
3549904,3168606,1317,1601,0,SAO JOSE DOS CAMPOS,TEOFILO OTONI
3549904,2211001,1260,326,0,SAO JOSE DOS CAMPOS,TERESINA
2111300,2504009,1166,1153,0,SAO LUIS,CAMPINA GRANDE
2111300,2507507,1386,1375,0,SAO LUIS,JOAO PESSOA
2111300,2408102,1169,1165,0,SAO LUIS,NATAL
2111300,2207702,6105,6006,0,SAO LUIS,PARNAIBA
2931350,4108304,114,127,0,TEIXEIRA DE FREITAS,FOZ DO IGUACU
2931350,5208707,380,351,0,TEIXEIRA DE FREITAS,GOIANIA
2931350,3303302,75,86,0,TEIXEIRA DE FREITAS,NITEROI
2931350,3170701,70,56,0,TEIXEIRA DE FREITAS,VARGINHA
2931350,3205309,40148,43653,0,TEIXEIRA DE FREITAS,VITORIA
3168606,2800308,185,221,0,TEOFILO OTONI,ARACAJU
3168606,3509502,1686,2409,0,TEOFILO OTONI,CAMPINAS
3168606,4104808,93,41,0,TEOFILO OTONI,CASCAVEL
3168606,4108304,135,173,0,TEOFILO OTONI,FOZ DO IGUACU
3168606,3516200,495,487,0,TEOFILO OTONI,FRANCA
3168606,2914802,43,184,0,TEOFILO OTONI,ITABUNA
3168606,4113700,84,91,0,TEOFILO OTONI,LONDRINA
3168606,4115200,94,106,0,TEOFILO OTONI,MARINGA
3168606,2408003,2,5,0,TEOFILO OTONI,MOSSORO
3168606,2408102,8,13,0,TEOFILO OTONI,NATAL
3168606,2931350,305,458,0,TEOFILO OTONI,TEIXEIRA DE FREITAS
3168606,2933307,985,1124,0,TEOFILO OTONI,VITORIA DA CONQUISTA
2211001,5201108,52,66,0,TERESINA,ANAPOLIS
2211001,2504009,54,420,0,TERESINA,CAMPINA GRANDE
2211001,5208707,286,252,0,TERESINA,GOIANIA
2211001,2507507,88,280,0,TERESINA,JOAO PESSOA
2211001,2307304,1172,1540,0,TERESINA,JUAZEIRO DO NORTE
2211001,2704302,505,474,0,TERESINA,MACEIO
2211001,2408003,135,124,0,TERESINA,MOSSORO
2211001,2408102,1034,1033,0,TERESINA,NATAL
2211001,1721000,809,686,0,TERESINA,PALMAS
2211001,2611101,3503,4657,0,TERESINA,PETROLINA
2211001,2111300,26420,26748,0,TERESINA,SAO LUIS
3170107,2800308,128,137,0,UBERABA,ARACAJU
3170107,3502804,13,14,0,UBERABA,ARACATUBA
3170107,3300407,351,347,0,UBERABA,BARRA MANSA
3170107,3505500,4389,4445,0,UBERABA,BARRETOS
3170107,3509502,9921,7782,0,UBERABA,CAMPINAS
3170107,5002704,740,771,0,UBERABA,CAMPO GRANDE
3170107,4104808,311,289,0,UBERABA,CASCAVEL
3170107,4108304,554,706,0,UBERABA,FOZ DO IGUACU
3170107,3516200,32475,32501,0,UBERABA,FRANCA
3170107,2704302,209,417,0,UBERABA,MACEIO
3170107,4119905,75,64,0,UBERABA,PONTA GROSSA
3170107,1100205,47,64,0,UBERABA,PORTO VELHO
3170107,3541406,902,636,0,UBERABA,PRES PRUDENTE
3170107,3549904,1102,1850,0,UBERABA,SAO JOSE DOS CAMPOS
3170107,2111300,266,100,0,UBERABA,SAO LUIS
3170107,2933307,256,236,0,UBERABA,VITORIA DA CONQUISTA
3170206,2800308,289,345,0,UBERLANDIA,ARACAJU
3170206,3300407,860,967,0,UBERLANDIA,BARRA MANSA
3170206,3509502,9486,7912,0,UBERLANDIA,CAMPINAS
3170206,4205407,31,139,0,UBERLANDIA,FLORIANOPOLIS
3170206,4108304,349,316,0,UBERLANDIA,FOZ DO IGUACU
3170206,3516200,6701,5696,0,UBERLANDIA,FRANCA
3170206,4209102,29,114,0,UBERLANDIA,JOINVILLE
3170206,2704302,1016,1435,0,UBERLANDIA,MACEIO
3170206,1100205,940,1102,0,UBERLANDIA,PORTO VELHO
3170206,3549904,1203,1655,0,UBERLANDIA,SAO JOSE DOS CAMPOS
3170206,2111300,178,185,0,UBERLANDIA,SAO LUIS
3170206,2933307,1690,1684,0,UBERLANDIA,VITORIA DA CONQUISTA
3205309,2800308,1301,1485,0,VITORIA,ARACAJU
3205309,3300407,672,790,0,VITORIA,BARRA MANSA
3205309,5103403,108,146,0,VITORIA,CUIABA
3205309,4108304,153,238,0,VITORIA,FOZ DO IGUACU
3205309,3303302,13480,13516,0,VITORIA,NITEROI
3205309,2207702,105,103,0,VITORIA,PARNAIBA
3205309,1100205,272,232,0,VITORIA,PORTO VELHO
3205309,3549904,1042,1557,0,VITORIA,SAO JOSE DOS CAMPOS
3205309,3168606,5020,4753,0,VITORIA,TEOFILO OTONI
3205309,2211001,314,158,0,VITORIA,TERESINA
3205309,3170206,72,78,0,VITORIA,UBERLANDIA
3205309,2933307,2170,2072,0,VITORIA,VITORIA DA CONQUISTA
3205309,3306305,281,795,0,VITORIA,VOLTA REDONDA
2933307,2800308,3077,2599,0,VITORIA DA CONQUISTA,ARACAJU
2933307,4104808,140,66,0,VITORIA DA CONQUISTA,CASCAVEL
2933307,4108304,218,167,0,VITORIA DA CONQUISTA,FOZ DO IGUACU
2933307,3516200,86,140,0,VITORIA DA CONQUISTA,FRANCA
2933307,4113700,460,276,0,VITORIA DA CONQUISTA,LONDRINA
2933307,2704302,678,1005,0,VITORIA DA CONQUISTA,MACEIO
2933307,4115200,220,314,0,VITORIA DA CONQUISTA,MARINGA
2933307,3549904,250,348,0,VITORIA DA CONQUISTA,SAO JOSE DOS CAMPOS
2933307,3306305,83,79,0,VITORIA DA CONQUISTA,VOLTA REDONDA
3306305,3136702,6847,5494,0,VOLTA REDONDA,JUIZ DE FORA
3306305,3549904,10286,11673,0,VOLTA REDONDA,SAO JOSE DOS CAMPOS
